business_id,state,district,treatment,sector,business_age_years,owner_education,loan_access_baseline,employees_baseline,baseline_revenue_inr,endline_revenue_inr,survey_date,endline_revenue_missing,revenue_growth_rate,log_baseline_revenue,log_endline_revenue,edu_No formal education,edu_Primary,edu_Secondary,edu_Unknown,state_Gujarat,state_Maharashtra,state_Rajasthan,state_Uttar Pradesh
MSME0001,Rajasthan,Ajmer,1,Retail,1,Primary,0,14.0,39671.66,43044.83,2023-03-21,0,0.08502719573620054,10.58839235785598,10.66999740972893,False,True,False,False,False,False,True,False
MSME0002,Uttar Pradesh,Agra,1,Services,14,Primary,1,10.0,49137.08,58899.11,,0,0.19866931449732053,10.802369222250187,10.983581259168979,False,True,False,False,False,False,False,True
MSME0003,Maharashtra,Pune,1,Manufacturing,5,Graduate,1,11.0,21146.1,25124.13,2023-04-16,0,0.1881212138408502,9.959210770308056,10.13158401789618,False,False,False,False,False,True,False,False
MSME0004,Bihar,Muzaffarpur,1,Manufacturing,11,Primary,1,6.0,55172.63,64348.01,,0,0.16630311079968466,10.918222275965856,11.072061287915172,False,True,False,False,False,False,False,False
MSME0005,Gujarat,Surat,1,Retail,16,Graduate,0,14.0,10458.75,10663.16,,0,0.01954440062148917,9.255194227609808,9.274550089063627,False,False,False,False,True,False,False,False
MSME0006,Gujarat,Surat,0,Retail,2,Primary,0,9.0,8454.69,9494.42,,0,0.12297671469917874,9.042476595965068,9.158459536599171,False,True,False,False,True,False,False,False
MSME0008,Uttar Pradesh,Agra,1,Agri-Processing,11,Primary,0,8.0,24356.7,28034.93,2023-11-03,0,0.15101512109604337,10.100562244666921,10.241206511675754,False,True,False,False,False,False,False,True
MSME0009,Gujarat,Surat,0,Retail,18,Secondary,1,5.0,19877.85,17797.92,,0,-0.10463556169304027,9.897361325468692,9.78683687551964,False,False,True,False,True,False,False,False
MSME0010,Maharashtra,Nagpur,0,Agri-Processing,3,No formal education,1,1.0,68285.48,68484.21,,0,0.002910281951595134,11.13145243145005,11.13435848672968,True,False,False,False,False,True,False,False
MSME0012,Maharashtra,Nashik,0,Manufacturing,11,Graduate,1,1.0,45193.16,42412.93,,0,-0.06151882275990444,10.718701026935543,10.655208547561575,False,False,False,False,False,True,False,False
